Name,SOURCE_ID,FileName
HS0307+0746,13611477211053824,HS0307p0746_a_2002_09_21T07_42_49_all.dat.gz
HS0307+0746,13611477211053824,HS0307p0746_b_2003_02_04T01_15_51_all.dat.gz
HS0315+0858,14141304376849280,HS0315p0858_a_2002_09_21T08_23_21_all.dat.gz
HS0315+0858,14141304376849280,HS0315p0858_b_2002_09_22T05_23_07_all.dat.gz
HS0325+2142,61497407625478272,HS0325p2142_a_2002_09_21T06_01_12_all.dat.gz
HS0329+1121,13469296613857152,HS0329p1121_a_2002_09_22T06_23_54_all.dat.gz
HS0331+2240,67620897117741440,HS0331p2240_a_2002_09_21T06_16_39_all.dat.gz
HS0331+2240,67620897117741440,HS0331p2240_b_2003_08_11T10_00_18_all.dat.gz
HS0344+0944,3302674308386137856,HS0344p0944_a_2002_09_22T07_19_23_all.dat.gz
HS0344+0944,3302674308386137856,HS0344p0944_b_2003_02_04T01_45_14_all.dat.gz
HS0345+1324,37976345646670464,HS0345p1324_a_2002_09_22T07_34_34_all.dat.gz
HS0345+1324,37976345646670464,HS0345p1324_b_2003_02_25T00_44_08_all.dat.gz
HS0346+0755,3277482882085624192,HS0346p0755_a_2003_02_04T01_59_42_all.dat.gz
HS0346+0755,3277482882085624192,HS0346p0755_b_2003_02_25T01_00_22_all.dat.gz
HS0400+1451,39305036729495936,HS0400p1451_a_2002_03_04T00_58_20_all.dat.gz
HS0400+1451,39305036729495936,HS0400p1451_b_2002_09_21T06_42_08_all.dat.gz
HS0412+0632,3297249936488848384,HS0412p0632_a_2002_02_19T01_02_45_all.dat.gz
HS0412+0632,3297249936488848384,HS0412p0632_b_2003_01_18T04_19_01_all.dat.gz
HS0503+0154,3229005792373924224,HS0503p0154_a_2001_12_15T07_49_15_all.dat.gz
HS0503+0154,3229005792373924224,HS0503p0154_b_2002_02_22T00_31_59_all.dat.gz
HS0820+2503,679177201586401280,HS0820p2503_a_2003_01_24T03_30_44_all.dat.gz
HS0820+2503,679177201586401280,HS0820p2503_b_2003_02_18T02_42_44_all.dat.gz
HS0929+0839,588063421770438400,HS0929p0839_a_2003_01_24T05_27_27_all.dat.gz
HS0929+0839,588063421770438400,HS0929p0839_b_2003_02_20T01_13_19_all.dat.gz
HS0931+0712,3852811476713249536,HS0931p0712_a_2002_02_17T05_50_57_all.dat.gz
HS0931+0712,3852811476713249536,HS0931p0712_b_2002_02_22T03_32_40_all.dat.gz
HS0933+0028,3840288524603932800,HS0933p0028_a_2003_01_17T03_50_01_all.dat.gz
HS0933+0028,3840288524603932800,HS0933p0028_b_2003_01_24T04_32_50_all.dat.gz
HS0937+0130,3846451454781376512,HS0937p0130_a_2002_03_23T02_47_50_all.dat.gz
HS0937+0130,3846451454781376512,HS0937p0130_b_2002_12_28T08_16_45_all.dat.gz
HS0943+1401,614643325098055680,HS0943p1401_a_2003_01_24T05_55_13_all.dat.gz
HS0943+1401,614643325098055680,HS0943p1401_b_2003_02_25T02_01_34_all.dat.gz
HS0944+1913,627412945768300800,HS0944p1913_a_2003_01_24T06_08_52_all.dat.gz
HS0944+1913,627412945768300800,HS0944p1913_b_2003_02_25T01_47_28_all.dat.gz
HS0949+0823,3877952432852336128,HS0949p0823_a_2003_01_24T06_24_23_all.dat.gz
HS0949+0823,3877952432852336128,HS0949p0823_b_2003_01_24T06_38_52_all.dat.gz
HS0949+0823,3877952432852336128,HS0949p0823_b_2003_02_14T04_18_36_all.dat.gz
HS0949+0823,3877952432852336128,HS0949p0823_b_2003_02_14T04_29_58_all.dat.gz
HS0949+0935,3878937457832171776,HS0949p0935_a_2001_12_20T08_02_04_all.dat.gz
HS0949+0935,3878937457832171776,HS0949p0935_b_2002_02_22T04_44_26_all.dat.gz
HS1003+0726,3874412413432647680,HS1003p0726_a_2002_05_24T01_56_20_all.dat.gz
HS1003+0726,3874412413432647680,HS1003p0726_b_2003_01_17T04_55_02_all.dat.gz
HS1013+0321,3859871342090899328,HS1013p0321_a_2002_05_24T02_11_57_all.dat.gz
HS1013+0321,3859871342090899328,HS1013p0321_b_2003_01_24T04_46_28_all.dat.gz
