Name,GaiaDR2,SPYTeff,SPYlogg,Rem,FileName,jul_date,obsname,SOURCE_ID,r_med_geo,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH
HE0348-2404,5083966055431334912,14735,7.94,,HE0348m2404_a_2001_09_14T09_28_38_all.dat.gz,2452166.89488867996,he0348m2404_a_2452166_89488867996,5083966055431334912,88.03613,5083966055431334912,14117.98,289.83,8.064964,0.0293
HE0348-2404,5083966055431334912,14735,7.94,,HE0348m2404_b_2001_09_15T09_11_32_all.dat.gz,2452167.88301806012,he0348m2404_b_2452167_88301806012,5083966055431334912,88.03613,5083966055431334912,14117.98,289.83,8.064964,0.0293
HE0348-4445,4835585377987834752,19951,8.07,,HE0348m4445_a_2000_09_15T06_31_31_all.dat.gz,2451802.7718932298,he0348m4445_a_2451802_7718932298,4835585377987834752,110.39546,4835585377987834752,19854.37,564.21,8.076939,0.038991
HE0348-4445,4835585377987834752,19951,8.07,,HE0348m4445_b_2000_09_17T08_02_17_all.dat.gz,2451804.83492194023,he0348m4445_b_2451804_83492194023,4835585377987834752,110.39546,4835585377987834752,19854.37,564.21,8.076939,0.038991
HE0349-2537,5083478078426926976,20974,7.91,,HE0349m2537_a_2000_12_11T03_34_19_all.dat.gz,2451889.64883414982,he0349-2537_2451889_64883414982,5083478078426926976,101.71393,5083478078426926976,21034.48,469.81,7.966632,0.031727
HE0349-2537,5083478078426926976,20974,7.91,,HE0349m2537_b_2001_01_15T01_45_13_all.dat.gz,2451924.57307804003,he0349-2537_2451924_57307804003,5083478078426926976,101.71393,5083478078426926976,21034.48,469.81,7.966632,0.031727
HE0358-5127,4828757999190736128,23376,7.93,,HE0358m5127_a_2000_07_15T09_48_14_all.dat.gz,2451740.90850433987,he0358-5127_2451740_90850433987,4828757999190736128,119.71477,4828757999190736128,23283.42,611.12,7.90175,0.038238
HE0358-5127,4828757999190736128,23376,7.93,,HE0358m5127_b_2000_07_17T09_42_48_all.dat.gz,2451742.90472673997,he0358-5127_2451742_90472673997,4828757999190736128,119.71477,4828757999190736128,23283.42,611.12,7.90175,0.038238
HE0358-5127,4828757999190736128,23376,7.93,,HE0358m5127_b_2000_07_18T09_09_32_all.dat.gz,2451743.88163066003,he0358-5127_2451743_88163066003,4828757999190736128,119.71477,4828757999190736128,23283.42,611.12,7.90175,0.038238
HE0403-4129,4842194473663089920,22702,7.94,,HE0403m4129_a_2000_07_15T10_03_01_all.dat.gz,2451740.91876453999,he0403-4129_2451740_91876453999,4842194473663089920,145.04659,4842194473663089920,22695.7,792.41,7.944021,0.050209
HE0403-4129,4842194473663089920,22702,7.94,,HE0403m4129_b_2000_07_17T10_03_47_all.dat.gz,2451742.91929863999,he0403-4129_2451742_91929863999,4842194473663089920,145.04659,4842194473663089920,22695.7,792.41,7.944021,0.050209
HE0403-4129,4842194473663089920,22702,7.94,,HE0403m4129_b_2000_07_18T09_24_07_all.dat.gz,2451743.89175269008,he0403-4129_2451743_89175269008,4842194473663089920,145.04659,4842194473663089920,22695.7,792.41,7.944021,0.050209
HE0404-1852,5095932968188685696,19218,7.67,,HE0404m1852_a_2000_12_17T05_58_43_all.dat.gz,2451895.74911373993,he0404-1852_2451895_74911373993,5095932968188685696,119.56302,5095932968188685696,19153.73,487.23,7.713189,0.029093
HE0409-5154,4780544792270137088,26315,7.83,,HE0409m5154_a_2000_09_15T09_10_37_all.dat.gz,2451802.88238281012,he0409-5154_2451802_88238281012,4780544792270137088,170.88783,4780544792270137088,26095.43,993.76,7.823696,0.062714
HE0409-5154,4780544792270137088,26315,7.83,,HE0409m5154_a_2001_09_13T09_28_16_all.dat.gz,2452165.8946386301,he0409-5154_2452165_8946386301,4780544792270137088,170.88783,4780544792270137088,26095.43,993.76,7.823696,0.062714
HE0409-5154,4780544792270137088,26315,7.83,,HE0409m5154_a_2001_12_15T06_44_16_all.dat.gz,2452258.78075117012,he0409-5154_2452258_78075117012,4780544792270137088,170.88783,4780544792270137088,26095.43,993.76,7.823696,0.062714
HE0414-4039,4841115341656167552,20941,7.93,,HE0414m4039_a_2000_12_11T04_49_41_all.dat.gz,2451889.7011782499,he0414-4039_2451889_7011782499,4841115341656167552,118.67349,4841115341656167552,21125.63,580.81,8.023494,0.03805
HE0414-4039,4841115341656167552,20941,7.93,,HE0414m4039_b_2000_12_17T05_42_48_all.dat.gz,2451895.73805609997,he0414-4039_2451895_73805609997,4841115341656167552,118.67349,4841115341656167552,21125.63,580.81,8.023494,0.03805
HE0416-1034,3191249387709577088,24845,7.92,,HE0416m1034_a_2000_12_17T06_13_33_all.dat.gz,2451895.75941029983,he0416-1034_2451895_75941029983,3191249387709577088,107.863434,3191249387709577088,25605.55,582.17,7.917956,0.035856
HE0416-1034,3191249387709577088,24845,7.92,,HE0416m1034_b_2001_01_15T03_03_34_all.dat.gz,2451924.6274783602,he0416-1034_2451924_6274783602,3191249387709577088,107.863434,3191249387709577088,25605.55,582.17,7.917956,0.035856
HE0416-3852,4844370755067765504,19324,7.96,,HE0416m3852_a_2000_12_11T04_32_31_all.dat.gz,2451889.68925881991,he0416-3852_2451889_68925881991,4844370755067765504,117.27563,4844370755067765504,19041.07,472.9,7.93789,0.035383
HE0416-3852,4844370755067765504,19324,7.96,,HE0416m3852_b_2000_12_17T05_27_10_all.dat.gz,2451895.72720747022,he0416-3852_2451895_72720747022,4844370755067765504,117.27563,4844370755067765504,19041.07,472.9,7.93789,0.035383
HE0417-3033,4884691594508544128,19103,7.85,,HE0417m3033_a_2001_12_28T02_22_41_all.dat.gz,2452271.59909369005,he0417-3033_2452271_59909369005,4884691594508544128,143.6651,4884691594508544128,18434.84,604.62,7.895416,0.049173
HE0417-3033,4884691594508544128,19103,7.85,,HE0417m3033_b_2002_09_15T08_16_56_all.dat.gz,2452532.84509686008,he0417-3033_2452532_84509686008,4884691594508544128,143.6651,4884691594508544128,18434.84,604.62,7.895416,0.049173
HE0418-1021,3191269144559159936,23385,8.29,,HE0418m1021_a_2002_09_13T09_13_48_all.dat.gz,2452530.88459448982,he0418-1021_2452530_88459448982,3191269144559159936,82.02809,3191269144559159936,22942.3,674.17,8.355697,0.037363
HE0418-1021,3191269144559159936,23385,8.29,,HE0418m1021_b_2001_12_27T04_22_26_all.dat.gz,2452270.68224663008,he0418-1021_2452270_68224663008,3191269144559159936,82.02809,3191269144559159936,22942.3,674.17,8.355697,0.037363
HE0418-5326,4779427928974390272,27090,7.87,,HE0418m5326_a_2000_07_18T10_06_00_all.dat.gz,2451743.92084437981,he0418-5326_2451743_92084437981,4779427928974390272,193.32796,4779427928974390272,26572.05,862.67,7.837642,0.056017
HE0418-5326,4779427928974390272,27090,7.87,,HE0418m5326_b_2000_08_05T09_23_44_all.dat.gz,2451761.89148883987,he0418-5326_2451761_89148883987,4779427928974390272,193.32796,4779427928974390272,26572.05,862.67,7.837642,0.056017
